#   State      Priority  Quantum  I/O Block    Progress 
0   registered    1       1 ms    100 ms      0 ms | 918 ms
0   demoted       2       0 ms    100 ms      1 ms | 918 ms
1   registered    1       1 ms    500 ms      0 ms | 1408 ms
1   demoted       2       0 ms    500 ms      1 ms | 1408 ms
2   registered    1       1 ms    60 ms       0 ms | 1011 ms
2   demoted       2       0 ms    60 ms       1 ms | 1011 ms
3   registered    1       1 ms    0 ms        0 ms | 1980 ms
3   demoted       2       0 ms    0 ms        1 ms | 1980 ms
0   registered    2       2 ms    100 ms      1 ms | 918 ms
0   demoted       3       0 ms    100 ms      3 ms | 918 ms
1   registered    2       2 ms    500 ms      1 ms | 1408 ms
1   demoted       3       0 ms    500 ms      3 ms | 1408 ms
2   registered    2       2 ms    60 ms       1 ms | 1011 ms
2   demoted       3       0 ms    60 ms       3 ms | 1011 ms
3   registered    2       2 ms    0 ms        1 ms | 1980 ms
3   demoted       3       0 ms    0 ms        3 ms | 1980 ms
0   registered    3       4 ms    100 ms      3 ms | 918 ms
0   demoted       4       0 ms    100 ms      7 ms | 918 ms
1   registered    3       4 ms    500 ms      3 ms | 1408 ms
1   demoted       4       0 ms    500 ms      7 ms | 1408 ms
2   registered    3       4 ms    60 ms       3 ms | 1011 ms
2   demoted       4       0 ms    60 ms       7 ms | 1011 ms
3   registered    3       4 ms    0 ms        3 ms | 1980 ms
3   demoted       4       0 ms    0 ms        7 ms | 1980 ms
0   registered    4       8 ms    100 ms      7 ms | 918 ms
0   demoted       5       0 ms    100 ms     15 ms | 918 ms
1   registered    4       8 ms    500 ms      7 ms | 1408 ms
1   demoted       5       0 ms    500 ms     15 ms | 1408 ms
2   registered    4       8 ms    60 ms       7 ms | 1011 ms
2   demoted       5       0 ms    60 ms      15 ms | 1011 ms
3   registered    4       8 ms    0 ms        7 ms | 1980 ms
3   demoted       5       0 ms    0 ms       15 ms | 1980 ms
0   registered    5       16 ms   100 ms     15 ms | 918 ms
0   demoted       6       0 ms    100 ms     31 ms | 918 ms
1   registered    5       16 ms   500 ms     15 ms | 1408 ms
1   demoted       6       0 ms    500 ms     31 ms | 1408 ms
2   registered    5       16 ms   60 ms      15 ms | 1011 ms
2   demoted       6       0 ms    60 ms      31 ms | 1011 ms
3   registered    5       16 ms   0 ms       15 ms | 1980 ms
3   demoted       6       0 ms    0 ms       31 ms | 1980 ms
0   registered    6       32 ms   100 ms     31 ms | 918 ms
0   demoted       7       0 ms    100 ms     63 ms | 918 ms
1   registered    6       32 ms   500 ms     31 ms | 1408 ms
1   demoted       7       0 ms    500 ms     63 ms | 1408 ms
2   registered    6       32 ms   60 ms      31 ms | 1011 ms
2   I/O blocked   6       3 ms    60 ms      60 ms | 1011 ms
3   registered    6       32 ms   0 ms       31 ms | 1980 ms
3   demoted       7       0 ms    0 ms       63 ms | 1980 ms
2   registered    6       3 ms    60 ms      60 ms | 1011 ms
2   demoted       7       0 ms    60 ms      63 ms | 1011 ms
0   registered    7       64 ms   100 ms     63 ms | 918 ms
0   I/O blocked   7       27 ms   100 ms    100 ms | 918 ms
1   registered    7       64 ms   500 ms     63 ms | 1408 ms
1   demoted       8       0 ms    500 ms    127 ms | 1408 ms
3   registered    7       64 ms   0 ms       63 ms | 1980 ms
3   demoted       8       0 ms    0 ms      127 ms | 1980 ms
2   registered    7       64 ms   60 ms      63 ms | 1011 ms
